Country;GDP per capita;Life satisfaction
Canada,48317176,73.285
Central African Republic,91280304,3.083
Chad,15870323,43.006
Chile,24470703,64.762
China,14243532,52.458
Colombia,1417132,62.601
Congo,42346597,45.587
Costa Rica,20347035,70717
Cote d'Ivoire,48307505,46.712
Croatia,27154084,53.212
Cyprus,3828797,57.625
Czechia,38824887,67.109
Democratic Republic of Congo,10598108,42.449
Denmark,5535668,75.553
Dominican Republic,16735365,53.018
Ecuador,11617912,59.732
Egypt,11014486,44.192
El Salvador,8454052,61.668
Estonia,33821934,57.392
Ethiopia,20215629,43.502
Finland,47570133,76.321
France,44577066,64.893
Gabon,15006844,47.583
Georgia,13589707,43.405
Germany,53071457,69.647
Ghana,51159067,4.657
Greece,28604861,53.579
Guatemala,8322217,63.819
Guinea,24178037,39.641
Haiti,31532993,3.582
Honduras,55619946,5.504
Hong Kong,5984925,54.304
Hungary,29501121,562
Iceland,55638492,74.952
India,6182922,41.898
Indonesia,10935632,50.926
Iran,14535874,47.066
Iraq,10526371,44.556
Ireland,777492,69.771
Israel,39121297,719
Italy,4158112,60.004
Jamaica,96001045,58.898
Japan,41505082,5915
Jordan,10003575,51.607
